old_id,new_id,old_damage_gra,new_damage_gra,vlm_damage_class,vlm_confidence,remap_action,vlm_action,compare_chip,iou,centroid_distance_m,google_maps_url
ems_00001,aoi12_v2_00001,Possibly damaged,Possibly damaged,uncertain_comparison_problem,0.95,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00001_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.584247934899329,-67.08355866523489"
ems_00002,aoi12_v2_00003,Possibly damaged,Possibly damaged,uncertain_comparison_problem,0.95,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00002_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.588731670884956,-67.050669150295"
ems_00003,aoi12_v2_00006,Damaged,Damaged,likely_destroyed,0.85,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00003_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.6017854115,-67.03119532849999"
ems_00004,aoi12_v2_00008,Damaged,Damaged,likely_destroyed,0.95,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00004_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.602195192222222,-67.03000936444444"
ems_00005,aoi12_v2_00014,Possibly damaged,Possibly damaged,possible_major_damage,0.75,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00005_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.602052206000002,-67.0244288472"
ems_00006,aoi12_v2_00009,Damaged,Damaged,likely_destroyed,0.85,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00006_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.602834119999999,-67.03037675636364"
ems_00007,aoi12_v2_00010,Damaged,Damaged,likely_destroyed,0.95,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00007_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.602875056086956,-67.02951927652174"
ems_00008,aoi12_v2_00017,Damaged,Damaged,possible_major_damage,0.75,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00008_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.602867767777777,-67.02664012333334"
ems_00009,aoi12_v2_00018,Damaged,Damaged,likely_destroyed,0.95,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00009_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.60337987375,-67.02775086"
ems_00010,aoi12_v2_00021,Damaged,Damaged,likely_destroyed,0.95,reuse_geometry_minor_change,reuse_existing_vlm_with_v2_binding,/data/chips/emsr884-aoi12-caraballeda/ems_00010_before_after_compare.png,1.0,0.0,"https://www.google.com/maps/search/?api=1&query=10.603611574,-67.030110646"
