rank,cell_id,center_lat,center_lon,response_class,confidence,human_review_priority,first_visible_date,last_absent_date,observed_assets,temporal_change,evidence,image_quality,alignment_quality,uncertainty_reason,secondary_response_class,secondary_confidence,secondary_observed_assets,scene_ids,human_status,human_finding,human_notes
1,aoi12_r017_c117,10.61191147,-66.82904267,likely_response_signal,0.92,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large debris field covering former building footprint | temporary structures or shelters near rubble area | organized material staging at edge of destruction | road clearance activity with vehicles along main road | ambulance and fire/military-sized vehicles near affected zone,significant structural damage visible post-event; organized response activities evident in subsequent images,"Pre-event image shows intact buildings and no large-scale destruction. Post-event images from June 26 show extensive rubble and structural collapse. By June 29, temporary shelters, organized material staging, and emergency vehicles are visible. The July 5 image confirms persistence of these elements. No evidence of pre-existing response assets in the pre-event image.",good,good,"Minor alignment differences between sensors and slight cloud cover on June 29 images introduce some uncertainty in asset detection, but overall signal is strong.",likely_response_signal,0.8,large organized gathering in open area | possible temporary structures or tents near gathering,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
2,aoi12_r018_c113,10.61411884,-66.83802582,likely_response_signal,0.92,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and collapsed structures | excavators/ loaders on site | dump trucks or heavy vehicles near debris | organized staging of materials | temporary tents or shelters | concentration of personnel in open areas | road clearance activity,significant destruction and debris accumulation post-event; visible response assets appear by June 26 and persist through June 29,"The pre-event image (2025-11-03) shows a populated urban area with intact buildings and roads. The June 26 image reveals widespread destruction, large piles of rubble, and the presence of multiple excavators, dump trucks, and organized material staging consistent with emergency response operations. By June 29, similar response assets remain visible across the scene, including temporary shelters and road-clearing efforts. The July 5 image is too low-resolution to confirm details but does not contradict earlier findings. No response assets are visible in the pre-event image.",good,good,"Minor alignment discrepancies between sensors; cloud cover in some images may obscure full visibility, though the core response indicators are clear.",likely_response_signal,0.8,large organized gathering near the center of the image | possible temporary structures or tents in the central area | increased vehicle presence compared to pre-event,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
3,aoi12_r019_c110,10.61632619,-66.84476319,likely_response_signal,0.92,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large debris piles and collapsed structures | excavators and loaders at demolition site | dump trucks and cargo vehicles on roads | temporary tents or shelters near damaged buildings | organized material staging areas | road clearance activity,"significant destruction post-event with visible response assets appearing by June 26, increasing through June 29",Pre-event image shows intact buildings and infrastructure; post-event images show widespread structural collapse and active machinery consistent with emergency response operations. Response assets are clearly visible in the June 26 and June 29 images. The July 5 image confirms persistence but not initial arrival.,good,good,"Slight alignment variation between sensors and minor cloud cover in some images may affect precise asset identification, though overall change is clear.",likely_response_signal,0.8,large excavator/loader near center-right | organized material staging area near center | temporary structures or tents near center-left,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
4,aoi12_r020_c109,10.61853353,-66.84700897,likely_response_signal,0.92,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large debris field covering central area | excavators and loaders visible in rubble | dump trucks and cargo vehicles near cleared zones | organized material staging piles | temporary tents or shelters near damaged buildings | ambulances and emergency response vehicles on roads | military-sized vehicles at perimeter | road clearance activity along main thoroughfare,significant structural damage and widespread rubble post-event; presence of multiple response assets not visible pre-event,"Post-event images show extensive destruction and the presence of heavy machinery, emergency vehicles, and organized response activities consistent with disaster response. The pre-event image shows no such assets. The June 29 images confirm persistence of response activity despite minor sensor differences.",good,good,"Minor discrepancies between two June 29 images due to sensor angle and cloud cover, but overall consistency supports a clear response signal.",likely_response_signal,0.8,multiple excavators or loaders near the collapsed building | organized material staging areas around the debris | large organized gathering of people consistent with a collection point,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
5,aoi12_r014_c029,10.60528926,-67.02667203,likely_response_signal,0.85,high,2026-06-26T15:10:00Z,,multiple white and light-colored vehicles clustered near the top-right residential block in image 2 and 3 | organized piles of debris or construction materials adjacent to the residential block in image 2 and 3 | newly visible temporary structures or tents near the residential block in image 2 and 3 | increased vehicle activity on the road adjacent to the residential block in image 2 and 3,new clusters of vehicles and materials appear in the residential area between pre-event and post-event images; these are not present in the pre-event mosaic and persist in subsequent images,"in the pre-event mosaic (2025-11-03/2026-03-21/2026-04-07), the residential area shows no visible vehicles, temporary structures, or organized material piles. In the post-event images (2026-06-26 and 2026-06-27), multiple white/light-colored vehicles, temporary structures, and organized debris piles are visible in the same area, indicating a new, organized presence consistent with emergency response. The July 5 image is obscured by cloud and cannot be used for comparison.",good,good,"July 5 image is heavily clouded and unusable; however, the June 26-27 images show clear, consistent changes from the pre-event state, supporting a likely response signal.",possible_response_signal,0.6,organized material staging area near the center-right of the image,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
6,aoi12_r016_c037,10.60970408,-67.00870572,likely_response_signal,0.85,high,2026-06-27T13:48:10Z,2025-11-03/2026-03-21/2026-04-07,large white temporary tent structure in central road intersection | multiple heavy trucks (including dump trucks and cargo trucks) near the tent and along roads | yellow excavator or loader visible near the tent and rubble pile | organized staging of materials and vehicles in the central intersection area | significant structural collapse visible in upper right quadrant (building with blue pool now rubble) | road clearance activity evident in central intersection,"pre-event image shows no temporary structures or heavy equipment; post-event images show new temporary tent, heavy vehicles, and excavation equipment; rubble and structural damage are new; road intersection is now occupied by response assets","The pre-event mosaic shows no temporary structures, heavy vehicles, or excavation equipment in the central intersection. The June 26 image shows initial signs of damage and some vehicles, but the June 27 image clearly shows a large white tent, multiple trucks, and a yellow excavator/loader, indicating organized emergency response activity. The July 5 image, though hazy, still shows the tent and vehicles, confirming persistence. These assets are not present in the pre-event image and are consistent with emergency response operations.",good,good,"July 5 image is heavily obscured by haze, reducing confidence in fine details, but the presence of the tent and vehicles is still discernible. The June 26 image has lower resolution and less clarity than June 27, but the June 27 image provides clear evidence of response assets.",likely_response_signal,0.8,excavator/loader near the center of the image | organized material staging area near the center | temporary white tent-like structure near the center,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
7,aoi12_r018_c111,10.61411884,-66.8425174,likely_response_signal,0.85,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,temporary white and blue tents/staging areas in open field | organized groups of people near tents | red and white vehicles (possibly ambulances or response trucks) | small yellow construction equipment (excavator/loader) near central area | large-scale material staging on right side of field | dirt paths and cleared zones indicating recent activity,"significant change from pre-event to post-event images: open green field becomes active site with tents, vehicles, people, and equipment.","In the pre-event image (2025-11-03/2026-03-21/2026-04-07), the grid cell shows an undeveloped grassy field adjacent to buildings and a road. By June 26, 2026, the same area displays temporary structures, organized gatherings, multiple vehicles including emergency-style units, and construction equipment—consistent with a disaster response camp. The June 29 images confirm persistence of these assets. The July 5 image shows continued presence but cannot establish first arrival. No permanent industrial equipment or containers are visible that would suggest prior use; all observed assets appear consistent with emergency response deployment.",good,good,"The two June 29 images show minor differences possibly due to cloud cover or viewing angle, but both confirm ongoing activity. Alignment between sensors is good, and the change is clear. However, the exact nature of some small vehicles and tents remains ambiguous without ground truth.",likely_response_signal,0.9,organized material staging areas | temporary tents or structures | large organized gatherings compatible with a shelter or collection point,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
8,aoi12_r015_c030,10.60749668,-67.02442624,possible_response_signal,0.7,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large organized gathering of people and vehicles on the southeast corner | temporary structures or tents near the southeast corner | multiple emergency-style vehicles (ambulances, fire trucks) in the southeast area | dump trucks and construction equipment on roads and in open areas | organized material staging and debris piles along streets","significant change from pre-event to post-event images, with new activity concentrated in the southeast quadrant","Post-event images show clear signs of organized response activity including emergency vehicles, temporary shelters, and material staging, particularly in the southeast quadrant. These assets are not visible in the pre-event reference image. The July 5 image shows continued presence but cannot confirm initial arrival timing. Cloud cover is absent in all usable images.",good,good,"Image alignment is good, but sensor differences (mosaic vs. single-pass) and resolution variations introduce some uncertainty in asset identification; however, key response indicators are clearly visible.",likely_response_signal,0.9,large organized gatherings compatible with a shelter or collection point | temporary tents or structures,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
9,aoi12_r007_c016,10.58983689,-67.05586728,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large organized material staging with stacked containers and equipment in central area | temporary white tents or structures near central area | increased vehicle density including trucks and possibly emergency vehicles in central area | organized road clearance activity along main road,"significant increase in material staging, temporary structures, and vehicle density compared to pre-event image","Post-event images show a large accumulation of shipping containers, temporary white structures, and numerous vehicles concentrated in the central area, which is not visible in the pre-event image. These assets are consistent with response operations. The change appears significant and sustained across both post-event images.",good,good,Sensor differences (Legion vs GeoEye-1) affect resolution and interpretation; some objects may be ambiguous between industrial use and response use.,likely_response_signal,0.85,excavators | loaders | trucks | temporary tents | large organized gatherings,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
10,aoi12_r009_c030,10.59425193,-67.02442624,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small temporary white tent near red-roofed buildings | cluster of vehicles including trucks and possibly ambulances near central compound | organized material staging area with blue and white containers,increase in vehicle density and presence of temporary structures compared to pre-event image,"In the June 26 image, a cluster of vehicles (including what appear to be emergency or utility trucks) and a small white temporary tent are visible near the central buildings, not present in the pre-event mosaic. The June 27 image shows continued presence of these assets. The July 5 image is obscured by clouds and cannot be used for confirmation.",good,good,Cloud cover in the final image prevents assessment of persistence; sensor differences and potential misalignment between images introduce uncertainty.,likely_response_signal,0.85,excavators | loaders | trucks | temporary tents | organized material staging | large organized gatherings,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
