rank,cell_id,center_lat,center_lon,response_class,confidence,human_review_priority,first_visible_date,last_absent_date,observed_assets,temporal_change,evidence,image_quality,alignment_quality,uncertainty_reason,scene_ids,human_status,human_finding,human_notes
1,aoi12_r009_c057,10.61301516,-66.83690293,likely_response_signal,0.85,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large-scale rubble and collapsed structures in central area | white smoke or dust plume near central debris field | temporary tent-like structures on cleared ground | organized material staging area adjacent to damaged zone | emergency vehicles (ambulances, fire trucks) near roads",significant structural damage and debris visible post-event; presence of emergency response assets and activity,"Post-event images show widespread destruction not present in pre-event mosaic. Visible signs include extensive rubble, smoke/dust, temporary shelters, and emergency vehicles. The June 29 images confirm persistence of response activities. No response signal visible in usable pixels.",good,good,"Minor alignment discrepancies between sensors; cloud cover in some areas may obscure details; two June 29 images slightly differ due to sensor angle, but overall evidence is consistent.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
2,aoi12_r010_c054,10.61742986,-66.85037766,likely_response_signal,0.85,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large pile of rubble and debris in the upper right quadrant, adjacent to the main road, not present in pre-event image | multiple white and light-colored temporary structures or tents visible in the upper right quadrant, not present in pre-event image | organized staging of materials and vehicles near the rubble pile, including what appear to be dump trucks and heavy equipment | newly cleared or widened roadways or access paths near the debris zone, suggesting active site clearance | concentration of vehicles (including possible emergency or utility trucks) along the main road and in the debris zone, not seen in pre-event image","significant structural damage and debris accumulation in the upper right quadrant, with visible emergency response infrastructure and activity by June 26, persisting through June 29","pre-event image shows intact buildings and no debris or temporary structures in the upper right quadrant; post-event images from June 26 and June 29 show extensive rubble, temporary shelters, and organized response activity in the same area, indicating a likely emergency response to the June 24 earthquake",good,good,"none — images are well-aligned, clear, and show consistent changes across multiple post-event dates; no cloud or sensor artifacts obscure key features",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
3,aoi12_r010_c055,10.61742986,-66.84588608,likely_response_signal,0.85,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"multiple large excavators and loaders visible in the central and northern parts of the grid cell | dump trucks and heavy transport vehicles present near the main road and construction zones | organized staging of construction materials and debris piles in multiple locations | temporary structures or tents visible near the central intersection and along the waterfront | road clearance and reconfiguration evident along the curved highway, with new access lanes and cleared rubble",significant post-event changes in land use and vehicle presence compared to pre-event mosaic; new construction and debris management activities are evident by June 29,"pre-event images show no heavy machinery, temporary structures, or organized debris piles; post-event images from June 26 and June 29 show widespread presence of excavators, loaders, dump trucks, and temporary shelters, indicating active emergency response and recovery operations",good,good,none,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
4,aoi12_r006_c018,10.59977064,-67.01207441,possible_response_signal,0.75,high,2026-06-27T13:48:10Z,2025-11-03/2026-03-21/2026-04-07,two aircraft on tarmac at airfield | organized material staging near aircraft | small vehicles near staging area,new assets appear post-event,"In the pre-event mosaic (2025-11-03/2026-03-21/2026-04-07), no aircraft or organized response materials are visible on the tarmac. On 2026-06-27, two aircraft and a staging of white materials appear on the tarmac, consistent with emergency response activity. The earlier post-event image (2026-06-26) shows no such assets. The July 5 image is blank due to cloud cover, preventing confirmation of persistence.",good,good,"The June 26 image shows no response assets, but the June 27 image does; however, the difference may be due to sensor resolution, viewing angle, or cloud cover rather than actual deployment timing. The July 5 image is unusable due to cloud cover.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
5,aoi12_r006_c025,10.59977064,-66.98063337,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large temporary vehicle staging area near airport terminal | multiple yellow construction vehicles (excavators/loaders) visible near roads and open ground | organized material piles and debris clearing activity in lower-left quadrant | increased presence of white utility or support trucks near airport perimeter,significant increase in ground-level activity and vehicle concentration post-event,"Comparison between pre-event mosaic (2025-11-03/2026-03-21/2026-04-07) and post-event image (2026-06-26T15:10:00Z) shows new heavy machinery, organized staging areas, and increased transport vehicles not present in the reference. These are consistent with emergency response operations. The subsequent image on 2026-06-27T13:48:10Z confirms persistence of these assets. The July 5 image is blanked out and does not contribute evidence.",good,good,"The images are from different sensors and have varying resolutions and viewing angles; while alignment appears good, cloud cover or compression artifacts may obscure details in some areas. The absence of response signals in the pre-event image cannot be definitively confirmed due to possible sensor limitations.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
6,aoi12_r006_c033,10.59977064,-66.94470076,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large ship docked at pier, possibly military or support vessel | organized material staging with containers and temporary structures near the port | visible road clearance activity on access roads | presence of multiple vehicles consistent with emergency response or logistics operations",significant change in vessel presence and ground activity post-event,Post-event images show a large ship docked at the pier not visible in pre-event mosaic; organized material staging and vehicle activity appear after the event. The June 29 image is partially obscured but shows similar patterns. Cloud cover in July 5 image prevents definitive assessment of persistence.,good,good,"Cloud cover in the final image (July 5) obscures visibility, preventing confirmation of persistence; alignment and sensor differences introduce uncertainty in direct comparison.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
7,aoi12_r007_c017,10.60418555,-67.01656598,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large organized line of vehicles on road | temporary structures or tents near road edge | small groups of people near staging area,increase in vehicle density and human activity post-event,"In the pre-event image (2025-11-03/2026-03-21/2026-04-07), the area shows no organized response assets. In the June 26 image, a long line of vehicles is visible along the road, consistent with emergency or logistics convoys. A small temporary structure and several people are also present, suggesting active site use. The June 27 image confirms continued presence. The July 5 image is unusable due to cloud cover.",good,good,The July 5 image is completely obscured by clouds; alignment between sensors is good but not perfect. The observed assets could be related to routine operations rather than emergency response.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
8,aoi12_r007_c042,10.60418555,-66.90427657,possible_response_signal,0.65,high,2026-06-29T14:09:55Z,2026-06-26T15:10:00Z,temporary tents and shelters in parking lot area | organized material staging near coastal road | emergency response vehicles or trucks in parking lot,significant increase in temporary structures and organized activity between June 26 and June 29,"In the June 26 image, the coastal parking area is largely empty with only permanent structures visible. In the June 29 image, multiple temporary white and red tents are present, along with what appears to be organized staging of materials and vehicles consistent with emergency response operations. The July 5 image is too low quality for reliable assessment.",good,good,"The June 29 image shows clear signs of response activity, but the sensor (LG04) differs from the pre-event Legion image, and cloud cover may affect visibility; additionally, the July 5 image is unusable due to poor quality.",COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
9,aoi12_r008_c015,10.60860038,-67.02554914,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large temporary structure or tent assembly near coastal area in image 2 | organized material staging with multiple white and colored containers in image 2 | increased vehicle density on roads, including potential emergency vehicles, in image 2 | visible construction equipment (excavator or loader) near the coast in image 2 | temporary shelters or structures near central community area in image 3","significant changes in activity and asset presence between pre-event and post-event images, particularly around June 26–27","In the pre-event image (2025-11-03/2026-03-21/2026-04-07), no response assets are visible. In the June 26 image, there is clear evidence of organized activity: a large temporary structure or tent, material staging, increased traffic, and construction equipment near the coast—consistent with emergency response operations. The June 27 image shows continued presence of temporary structures. The July 5 image is obscured by clouds, making assessment impossible. Therefore, while not definitive, the observed changes are consistent with a possible response signal.",good,good,"The July 5 image is heavily cloud-covered, preventing assessment of persistence. While the June 26 and June 27 images show signs of response activity, some features (e.g., specific vehicle types) cannot be definitively identified due to resolution and sensor differences. Alignment quality is good but not perfect, and the pre-event reference spans multiple dates, which may introduce minor inconsistencies.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
10,aoi12_r008_c017,10.60860038,-67.01656598,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and collapsed structures in central grid cell | temporary tents or shelters near road intersections | organized material staging areas along main roads | ambulances and emergency vehicles near damaged buildings,"significant structural damage and debris visible post-event, with signs of organized response activities","Post-event images show widespread destruction consistent with earthquake impact; evidence of response assets such as temporary shelters, staged materials, and emergency vehicles appears on June 26 and persists through June 27. The July 5 image is obscured by cloud cover and cannot be used to confirm continuity. Pre-event image shows no such response infrastructure.",good,good,"Image 4 (July 5) is heavily cloud-covered, preventing reliable assessment of ongoing response activities. Alignment between sensors may introduce minor misregistration, though the core area remains comparable.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
11,aoi12_r008_c018,10.60860038,-67.01207441,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and collapsed structures in central and upper portions of the image | disrupted roadways with visible debris and blocked sections | temporary shelter-like structures or tarp-covered areas near lower-right edge | organized material staging on the right side of the image,significant structural damage and debris field evident post-event compared to pre-event condition,"Post-event images show widespread destruction, including collapsed buildings and debris fields, consistent with earthquake impact. Some organized material staging and temporary shelters are visible in the June 26 and June 27 images. The July 5 image is obscured by cloud cover, preventing assessment of persistence. Pre-event image shows intact urban fabric without such features.",good,good,"The July 5 image is heavily obscured by cloud cover, limiting assessment of response continuity; sensor differences and potential misalignment between some scenes introduce uncertainty in precise asset identification.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
12,aoi12_r009_c055,10.61301516,-66.84588608,possible_response_signal,0.65,high,2026-06-29T14:09:55Z,2026-06-26T15:10:00Z,large-scale rubble and debris clearing in central area | excavator visible on cleared ground near eastern edge | temporary structures or tents near central road intersection | organized material staging areas adjacent to damaged buildings,"significant change from pre-event condition, including widespread demolition and active clearing","The pre-event image (2025-11-03/2026-03-21/2026-04-07) shows intact residential area with no response assets. The June 26 image is heavily obscured by clouds, preventing assessment. The June 29 images show clear evidence of large-scale demolition, extensive rubble, an excavator operating in a cleared zone, and temporary shelters or staging areas consistent with emergency response activities. The July 5 image confirms persistence of these conditions but does not establish first arrival. No response assets are visible in the pre-event reference.",good,good,"Cloud cover in the June 26 image prevents direct comparison; alignment between sensors varies slightly, and resolution differences affect confidence in asset identification.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
13,aoi12_r009_c056,10.61301516,-66.8413945,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and collapsed structures in central area | organized material staging near roads | temporary tents or shelters on open ground | concentration of vehicles including trucks and emergency units | road clearance activity visible on main thoroughfare,significant destruction and emergence of temporary response infrastructure post-event,"Post-event images show widespread structural damage, debris piles, and organized activity consistent with emergency response. Temporary shelters and vehicle clusters appear on June 26 and persist through June 29. The July 5 image confirms continued presence but cannot confirm first arrival. Pre-event image shows no such features.",good,good,Disagreement between two June 29 images due to sensor differences and possible cloud cover; limited visibility in some areas prevents definitive assessment of all response assets.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
