priority,data_type,source_name,url,geography_aoi,official_status,acquisition_or_delivery_date,version,license_or_terms,candidate_or_scene_count,coverage_notes,use_case,should_use_for_vlm,blockers,recommended_next_step,supported_by,confidence
P0,official_activation_api,Copernicus EMSR884 public activations API,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations/?code=EMSR884,All EMSR884 AOIs,official_ems,live,live,Copernicus EMS terms,1 activation,Authoritative AOI/product/version source,Freshness and source-of-record manifest,no,Must save raw snapshot and parse all products,Save raw JSON with timestamp and extract manifest,Perplexity deep research; Perplexity search; ChatGPT; local verification,high
P0,official_activation_page,Copernicus EMSR884 activation page,https://mapping.emergency.copernicus.eu/activations/EMSR884/,All EMSR884 AOIs,official_ems,live,live,Copernicus EMS terms,activation page,Human-facing activation entrypoint,Source verification,no,Page is JS shell; use backend API for data,Keep as public citation and compare to API,All agents,high
P0,official_docs,Copernicus emergency response data harvesting docs,https://mapping.emergency.copernicus.eu/about/how-to-harvest-cems-mapping-data/emergency-response-data/,All CEMS products,official_ems,n/a,n/a,Copernicus EMS terms,n/a,Explains API fields and data use,Implementation reference,no,None,Use for parser semantics and citation,ChatGPT,high
P0,official_docs,Copernicus product overview docs,https://mapping.emergency.copernicus.eu/about/rapid-mapping-manual/product-overview/what-is-delivered-in-a-product/,All CEMS products,official_ems,n/a,n/a,Copernicus EMS terms,n/a,Explains product versions and deliveries,Versioning policy,no,None,Use for remap/version policy,ChatGPT,high
P0,official_api,Copernicus public activations info API,https://rapidmapping.emergency.copernicus.eu/backend/dashboard-api/public-activations-info/,All CEMS activations,official_ems,live,live,Copernicus EMS terms,unknown,Supplemental activation information,Metadata discovery,no,Need schema check,Inspect if product API misses fields,ChatGPT,medium
P0,official_post_event_cog,AOI02 Caracas Pleiades Neo COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,AOI02 Caracas,official_ems,2026-06-25T14:59,local catalog v1 binding,Copernicus EMS terms,1 COG,Known post-event official optical COG,After chip source,conditional,Bind to latest product version and validate COG/range,Add to official_imagery_manifest.csv,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI03 Antimano Legion COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI03/GRA_PRODUCT/EMSR884_AOI03_GRA_PRODUCT_LEGION_20260625_1517_ORTHO_cog.tif,AOI03 Antimano,official_ems,2026-06-25T15:17,local catalog imagery-only,Copernicus EMS terms,1 COG,Post-event image exists but no official damage vector,After chip source for internal candidates,conditional,Need pre-event and candidate footprints; no official polygons,Validate COG and bind to imagery-only AOI,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI05 Santa Cruz WorldView-3 COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_WORLDVIEW3_20260626_1510_ORTHO_cog.tif,AOI05 Santa Cruz,official_ems,2026-06-26T15:10,local catalog v1,Copernicus EMS terms,1 COG,Official post-event optical COG,After chip source,conditional,Need suitable high-res before imagery and official geometry treatment,Validate and add to manifest,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI06 Moron Legion COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_LEGION_20260625_2036_ORTHO_cog.tif,AOI06 Moron,official_ems,2026-06-25T20:36,local catalog v1,Copernicus EMS terms,1 COG,Official post-event optical COG,After chip source,conditional,Need high-res before coverage and latest MONIT inventory,Validate and add to manifest,ChatGPT; local catalog,high
P0,official_post_event_cog,AOI08 San Felipe Pleiades Neo COG,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_PNEO_20260625_1500_ORTHO_cog.tif,AOI08 San Felipe,official_ems,2026-06-25T15:00,local catalog v1,Copernicus EMS terms,1 COG,Official post-event optical COG,After chip source,conditional,Need high-res before coverage and MONIT v2 check,Validate and add to manifest,ChatGPT; local catalog,high
